speed: 0 ; cp: [''] ; reward: -0.15
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 1 ; cp: ['2', '8'] ; reward: -0.14995555555555554
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 1 ; cp: ['2', '8'] ; reward: -0.14995555555555554
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 1 ; cp: ['2', '8'] ; reward: -0.14995555555555554
speed: 1 ; cp: ['2', '8'] ; reward: -0.14995555555555554
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 4 ; cp: ['2', '8'] ; reward: -0.1492888888888889
speed: 5 ; cp: ['2', '8'] ; reward: -0.14888888888888888
speed: 0 ; cp: ['2', '8'] ; reward: -0.15
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 0 ; cp: ['2', '8'] ; reward: -0.15
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 9 ; cp: ['2', '8'] ; reward: -0.1464
speed: 11 ; cp: ['2', '8'] ; reward: -0.1446222222222222
speed: 13 ; cp: ['2', '8'] ; reward: -0.1424888888888889
speed: 15 ; cp: ['2', '8'] ; reward: -0.13999999999999999
speed: 12 ; cp: ['2', '8'] ; reward: -0.1436
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 22 ; cp: ['2', '8'] ; reward: -0.12848888888888887
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 22 ; cp: ['2', '8'] ; reward: -0.12848888888888887
speed: 25 ; cp: ['2', '8'] ; reward: -0.12222222222222222
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 22 ; cp: ['2', '8'] ; reward: -0.12848888888888887
speed: 22 ; cp: ['2', '8'] ; reward: -0.12848888888888887
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 22 ; cp: ['2', '8'] ; reward: -0.12848888888888887
speed: 29 ; cp: ['2', '8'] ; reward: -0.11262222222222222
speed: 31 ; cp: ['2', '8'] ; reward: -0.10728888888888888
speed: 33 ; cp: ['2', '8'] ; reward: -0.1016
speed: 38 ; cp: ['2', '8'] ; reward: -0.0858222222222222
speed: 38 ; cp: ['2', '8'] ; reward: -0.0858222222222222
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 42 ; cp: ['2', '8'] ; reward: -0.07159999999999998
speed: 44 ; cp: ['2', '8'] ; reward: -0.06395555555555554
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 49 ; cp: ['2', '8'] ; reward: -0.04328888888888889
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 49 ; cp: ['2', '8'] ; reward: -0.04328888888888889
speed: 42 ; cp: ['2', '8'] ; reward: -0.07159999999999998
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
